====================================
=== DATA FILE HEADER INFORMATION ===
====================================
FILENAME:,,6M20214-708388_01.Dta,,OPERATOR  :,12569,,CREATED   :,19-May-21
DEVICE  :,,,,LOT NAME  :,6M20214-70,,TIME POINT:,0
STATION :,,A,,TESTED BY :,TBB,,MAX TESTS :,44
SET QTY :,,32767,,LOGGED QTY:,65,,LOG RATE  :,1
Comment : Test:BYD 200A FS 6M18111 V2


====================================
=== TEST CONDITIONS & STATISTICS ===
====================================
TEST NUMBER:,,T1,,T2,,T3,,T4,,T5,,T6,,T7,,T8,,T9,,T10,,T11,,T12,,T13,,T14,,T15,,T16,,T17,,T18,,T19,,T20,,T21,,T22,,T23,,T24,,T25,,T26,,T27,,T28,,T29,,T30,,T31,,T32,,T33,,T34,,T35,,T36,,T37,,T38,,T39,,T40,,T41,,T42,,T43,,T44,,
TEST ITEM:,,X-AXIS,,Y-AXIS,,PASS#,,CONT,,ICES,,ISGS,,ISGS,,HVBCES,,HVBCES,,HVBCES,,HVBCES,,VTH,,SAME,,VTH,,SAME,,VTH,,SAME,,ABSDEL,,SAME,,ABSDEL,,SAME,,VTH,,SAME,,HVICES,,HVICES,,ISGS,,ISGS,,ISGS,,HVP,,SAME,,HVP,,SAME,,ABSDEL,,DEF,,DIVID,,HVDSON,,SAME,,HVDSON,,SAME,,HVDSON,,SAME,,HVBCES,,HVICES,,ISGS,,
3,1,1.270E+002, ,1.330E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.328E+003,V,1.333E+003,V,1.329E+003,V,1.334E+003,V,4.837E+000,V,4.837E+000, ,5.172E+000,V,5.172E+000, ,5.329E+000,V,5.329E+000, ,4.920E-001, ,4.920E-001, ,1.570E-001, ,1.570E-001, ,5.777E+000,V,5.777E+000, ,2.400E-008,A,3.300E-008,A,1.240E-008,A,9.000E-006,A,8.900E-009,A,8.080E+000,V,8.080E+000, ,8.220E+000,V,8.220E+000, ,1.400E-001, ,8.000E+000, ,5.714E+001, ,1.412E+000,V,1.412E+000, ,1.652E+000,V,1.652E+000, ,2.184E+000,V,2.184E+000, ,1.319E+003,V,3.600E-008,A,1.800E-009,A,
4,4,1.260E+002, ,1.320E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,5.000E+001,V,5.500E+001,V,1.010E+002,V,1.560E+002,V,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
5,3,1.270E+002, ,1.320E+002, ,NoData,,PASS,,0.000E+000,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
6,1,1.290E+002, ,1.320E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.345E+003,V,1.350E+003,V,1.355E+003,V,1.353E+003,V,4.834E+000,V,4.834E+000, ,5.171E+000,V,5.171E+000, ,5.326E+000,V,5.326E+000, ,4.920E-001, ,4.920E-001, ,1.550E-001, ,1.550E-001, ,5.776E+000,V,5.776E+000, ,2.000E-008,A,2.400E-008,A,0.000E+000,A,9.000E-006,A,0.000E+000,A,8.020E+000,V,8.020E+000, ,8.130E+000,V,8.130E+000, ,1.100E-001, ,8.000E+000, ,7.272E+001, ,1.411E+000,V,1.411E+000, ,1.626E+000,V,1.626E+000, ,2.124E+000,V,2.124E+000, ,1.347E+003,V,2.500E-008,A,6.900E-009,A,
7,4,1.300E+002, ,1.320E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.242E+003,V,1.262E+003,V,1.301E+003,V,1.352E+003,V,4.876E+000,V,4.876E+000, ,5.215E+000,V,5.215E+000, ,5.370E+000,V,5.370E+000, ,4.940E-001, ,4.940E-001, ,1.550E-001, ,1.550E-001, ,5.823E+000,V,5.823E+000, ,2.500E-008,A,9.999E-006,A,4.200E-009,A,9.000E-006,A,6.300E-009,A,8.050E+000,V,8.050E+000, ,8.170E+000,V,8.170E+000, ,1.200E-001, ,8.000E+000, ,6.666E+001, ,1.431E+000,V,1.431E+000, ,1.661E+000,V,1.661E+000, ,2.189E+000,V,2.189E+000, ,1.261E+003,V,Untested,,Untested,,
8,3,1.310E+002, ,1.310E+002, ,NoData,,PASS,,2.700E-004,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
9,3,1.300E+002, ,1.310E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.339E+003,V,1.359E+003,V,1.357E+003,V,1.357E+003,V,4.836E+000,V,4.836E+000, ,5.173E+000,V,5.173E+000, ,5.328E+000,V,5.328E+000, ,4.920E-001, ,4.920E-001, ,1.550E-001, ,1.550E-001, ,5.778E+000,V,5.778E+000, ,2.300E-008,A,2.600E-008,A,1.300E-009,A,9.999E-003,A,9.999E-007,A,8.790E+000,V,8.790E+000, ,8.930E+000,V,8.930E+000, ,1.400E-001, ,8.000E+000, ,5.714E+001, ,1.424E+000,V,1.424E+000, ,1.643E+000,V,1.643E+000, ,2.148E+000,V,2.148E+000, ,0.000E+000,V,Untested,,Untested,,
10,1,1.290E+002, ,1.310E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.347E+003,V,1.344E+003,V,1.353E+003,V,1.354E+003,V,4.813E+000,V,4.813E+000, ,5.149E+000,V,5.149E+000, ,5.304E+000,V,5.304E+000, ,4.910E-001, ,4.910E-001, ,1.550E-001, ,1.550E-001, ,5.753E+000,V,5.753E+000, ,2.300E-008,A,2.600E-008,A,0.000E+000,A,8.000E-006,A,2.300E-009,A,7.980E+000,V,7.980E+000, ,8.110E+000,V,8.110E+000, ,1.300E-001, ,8.000E+000, ,6.153E+001, ,1.408E+000,V,1.408E+000, ,1.611E+000,V,1.611E+000, ,2.085E+000,V,2.085E+000, ,1.348E+003,V,1.800E-008,A,2.900E-009,A,
11,1,1.280E+002, ,1.310E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.342E+003,V,1.358E+003,V,1.355E+003,V,1.355E+003,V,4.804E+000,V,4.804E+000, ,5.139E+000,V,5.139E+000, ,5.294E+000,V,5.294E+000, ,4.900E-001, ,4.900E-001, ,1.550E-001, ,1.550E-001, ,5.742E+000,V,5.742E+000, ,2.300E-008,A,2.600E-008,A,4.100E-009,A,7.000E-006,A,1.050E-008,A,7.980E+000,V,7.980E+000, ,8.110E+000,V,8.110E+000, ,1.300E-001, ,8.000E+000, ,6.153E+001, ,1.408E+000,V,1.408E+000, ,1.618E+000,V,1.618E+000, ,2.096E+000,V,2.096E+000, ,1.351E+003,V,2.800E-008,A,0.000E+000,A,
12,6,1.270E+002, ,1.310E+002, ,NoData,,PASS,,3.306E-002,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
13,3,1.260E+002, ,1.310E+002, ,NoData,,PASS,,0.000E+000,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
14,1,1.250E+002, ,1.310E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.308E+003,V,1.320E+003,V,1.323E+003,V,1.329E+003,V,4.780E+000,V,4.780E+000, ,5.114E+000,V,5.114E+000, ,5.268E+000,V,5.268E+000, ,4.880E-001, ,4.880E-001, ,1.540E-001, ,1.540E-001, ,5.713E+000,V,5.713E+000, ,4.600E-008,A,5.200E-008,A,0.000E+000,A,9.000E-006,A,0.000E+000,A,8.010E+000,V,8.010E+000, ,8.140E+000,V,8.140E+000, ,1.300E-001, ,8.000E+000, ,6.153E+001, ,1.376E+000,V,1.376E+000, ,1.589E+000,V,1.589E+000, ,2.070E+000,V,2.070E+000, ,1.314E+003,V,5.000E-008,A,8.400E-009,A,
15,3,1.250E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.296E+003,V,1.300E+003,V,1.313E+003,V,1.319E+003,V,4.771E+000,V,4.771E+000, ,5.104E+000,V,5.104E+000, ,5.257E+000,V,5.257E+000, ,4.860E-001, ,4.860E-001, ,1.530E-001, ,1.530E-001, ,5.702E+000,V,5.702E+000, ,4.800E-008,A,5.600E-008,A,2.400E-009,A,9.999E-003,A,9.999E-007,A,8.880E+000,V,8.880E+000, ,8.970E+000,V,8.970E+000, ,9.000E-002, ,8.000E+000, ,8.888E+001, ,1.398E+000,V,1.398E+000, ,1.629E+000,V,1.629E+000, ,2.137E+000,V,2.137E+000, ,0.000E+000,V,Untested,,Untested,,
16,1,1.260E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.322E+003,V,1.331E+003,V,1.335E+003,V,1.339E+003,V,4.772E+000,V,4.772E+000, ,5.105E+000,V,5.105E+000, ,5.258E+000,V,5.258E+000, ,4.860E-001, ,4.860E-001, ,1.530E-001, ,1.530E-001, ,5.704E+000,V,5.704E+000, ,2.300E-008,A,3.000E-008,A,3.600E-009,A,8.000E-006,A,0.000E+000,A,7.970E+000,V,7.970E+000, ,8.100E+000,V,8.100E+000, ,1.300E-001, ,8.000E+000, ,6.153E+001, ,1.395E+000,V,1.395E+000, ,1.608E+000,V,1.608E+000, ,2.086E+000,V,2.086E+000, ,1.319E+003,V,3.100E-008,A,0.000E+000,A,
17,3,1.270E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
18,1,1.280E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.337E+003,V,1.350E+003,V,1.350E+003,V,1.352E+003,V,4.798E+000,V,4.798E+000, ,5.133E+000,V,5.133E+000, ,5.288E+000,V,5.288E+000, ,4.900E-001, ,4.900E-001, ,1.550E-001, ,1.550E-001, ,5.736E+000,V,5.736E+000, ,2.000E-008,A,2.600E-008,A,0.000E+000,A,8.000E-006,A,4.800E-009,A,7.970E+000,V,7.970E+000, ,8.110E+000,V,8.110E+000, ,1.400E-001, ,8.000E+000, ,5.714E+001, ,1.420E+000,V,1.420E+000, ,1.631E+000,V,1.631E+000, ,2.109E+000,V,2.109E+000, ,1.350E+003,V,2.500E-008,A,0.000E+000,A,
19,1,1.290E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,0.000E+000,A,0.000E+000,A,1.342E+003,V,1.343E+003,V,1.348E+003,V,1.353E+003,V,4.796E+000,V,4.796E+000, ,5.130E+000,V,5.130E+000, ,5.285E+000,V,5.285E+000, ,4.890E-001, ,4.890E-001, ,1.550E-001, ,1.550E-001, ,5.733E+000,V,5.733E+000, ,2.300E-008,A,2.900E-008,A,0.000E+000,A,9.000E-006,A,0.000E+000,A,7.980E+000,V,7.980E+000, ,8.100E+000,V,8.100E+000, ,1.200E-001, ,8.000E+000, ,6.666E+001, ,1.424E+000,V,1.424E+000, ,1.634E+000,V,1.634E+000, ,2.112E+000,V,2.112E+000, ,1.339E+003,V,2.500E-008,A,0.000E+000,A,
20,3,1.300E+002, ,1.300E+002, ,NoData,,PASS,,0.000E+000,A,9.999E-003,A,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,Untested,,
